id,timestamp,content,length
1468063101,Mon Apr 06 23:30:57 PDT 2009,@mileycyrus hahaha dont be like that one time in NY when you got 30 mins of sleep then got sick  love you!!,107
1468286517,Tue Apr 07 00:45:20 PDT 2009,"@mileycyrus i have the same problem, but it's 4:43 here... let's see if counting works..1234...56 57 58... 132 133 134... no z's for me! ",137
1468297110,Tue Apr 07 00:49:07 PDT 2009,@mileycyrus I guess counting sheep didn't work  Hope you get some sleep!,72
1468298918,Tue Apr 07 00:49:44 PDT 2009,@mileycyrus I would too if it meant spending a day in heaven w/my mom and getting to see her again. ,100
1468318249,Tue Apr 07 00:56:41 PDT 2009,@mileycyrus AWWW u seriously have the cutest dog Miley! Sorry your not with her now  Hope u get some sleep! xoxo,112
1468333186,Tue Apr 07 01:01:52 PDT 2009,@mileycyrus http://twitpic.com/2xszg - Napping? At this point you may need a few of those. GMA is gonna come early. ,116
1468340955,Tue Apr 07 01:04:40 PDT 2009,"@mileycyrus where did you find that quote... no, donï¿½t answer, better sleep! xoxo from Germany (where itï¿½s already morning  )",129
1468382935,Tue Apr 07 01:19:59 PDT 2009,@mileycyrus http://twitpic.com/2y606 - I want a Sofie!  She's helllza cute.,75
1468689241,Tue Apr 07 03:10:51 PDT 2009,@mileycyrus ouch mine too ,26
1468764264,Tue Apr 07 03:36:33 PDT 2009,"@mileycyrus dude, I have to go on a 4 mile run in cold ass Boston after waking up just now. This sucks ",103
1468782447,Tue Apr 07 03:42:30 PDT 2009,@mileycyrus aww I feel u u just woke up for school  hopefully I'll meet u today hah &lt;3,89
1468786597,Tue Apr 07 03:43:51 PDT 2009,@mileycyrus awe I feel u i just woke up for school  hopefully we both have a better rest of the day.. &amp; I hope that includes meeting u lol,142
1468794164,Tue Apr 07 03:46:12 PDT 2009,@mileycyrus wow early start. I havent even been to bed yet. Hope your tummy feel better soon  love your aussie fan ;) xxx,121
1468832668,Tue Apr 07 03:58:18 PDT 2009,@mileycyrus how come you never reply to me? ,44
1468895003,Tue Apr 07 04:17:10 PDT 2009,@mileycyrus Aww  Chin up hun! You can do it ,44
1468898678,Tue Apr 07 04:18:18 PDT 2009,@mileycyrus god we have a blizzard here ,40
1468916524,Tue Apr 07 04:23:33 PDT 2009,@mileycyrus GOOD LUCK! i wish i could be thereee ,49
1468925029,Tue Apr 07 04:26:00 PDT 2009,@mileycyrus goood luck today @ G M A .... No one would take me  I love you!!!!! We are in the same state,104
1469495372,Tue Apr 07 06:33:20 PDT 2009,@mileycyrus school ugh me too ,30
1469702180,Tue Apr 07 07:10:04 PDT 2009,@mileycyrus Billy Ray's new album is fantastic. I'm listening it on iTunes. I'd buy it but it's not out in Aus  Make it come out here!,134
1469729393,Tue Apr 07 07:14:53 PDT 2009,"@mileycyrus .. You on the tyra show, i will have to watch that online, they dont show it in the UK i dont think. ",113
1469749110,Tue Apr 07 07:18:20 PDT 2009,@mileycyrus Miley my tummy hurts too and my head hurts it sounds like someone is pounding on my head!  ,103
1550725555,Sat Apr 18 07:04:24 PDT 2009,"@mileycyrus i was reading your book today &amp; i read about vanessa, im really sorry  were doing a fundraiser @ my school for cystic fibrosis",142
1550776310,Sat Apr 18 07:14:19 PDT 2009,"@mileycyrus Iï¿½d like to go to Madrid to see you but I think itï¿½s not possible   anyway, Iï¿½ll watch you on tuesday on &quot;El hormiguero&quot; ",149
1552001227,Sat Apr 18 10:31:41 PDT 2009,"@mileycyrus i love you, answer me! i'm your number one faaan! ",62
1553110286,Sat Apr 18 13:24:02 PDT 2009,@mileycyrus Have fun away from america  haha,44
1553169200,Sat Apr 18 13:33:14 PDT 2009,@mileycyrus.. Safe Jpurney Cos Imm One Off Uur Fans Lol Thaa Mii &amp;&amp; Uue Never Reply To Anythiiin I Send Uue! Not Fair  lol ,131
1553232495,Sat Apr 18 13:43:12 PDT 2009,@mileycyrus YOU FLIGHT TO GERMANY BUT NOT TO AUSTRIA WHY??? ,60
1553242834,Sat Apr 18 13:44:52 PDT 2009,@mileycyrus YOU FLIGHT TO GERMANY BUT NOT TO AUSTRIA WHY??? ,60
1553299210,Sat Apr 18 13:53:49 PDT 2009,@mileycyrus Ahh.. Now I'm sad because I was there just 2 days ago ,66
1553301448,Sat Apr 18 13:54:12 PDT 2009,@mileycyrus YOU FLIGHT TO GERMANY BUT NOT TO AUSTRIA WHY??? ,60
1553393710,Sat Apr 18 14:08:54 PDT 2009,@honorsociety iis just 15min away I CANT GO  im sad.  oh well @mileycyrus movieee time. HM movie at 4,101
1553608187,Sat Apr 18 14:43:38 PDT 2009,@mileycyrus that's so cool - but i won't be able to see you  well ill go to cinema to watch premier there with my brother: Can't wait!!,135
1553921449,Sat Apr 18 15:34:37 PDT 2009,"@mileycyrus you're so lucky to actually have a car, aha. well a working one. i crashed mine. ",93
1553925663,Sat Apr 18 15:35:19 PDT 2009,"@mileycyrus lol who cares. audi, tomato, tomayto. ( wow, im really twittering to mileycyrus) ",93
1554015794,Sat Apr 18 15:50:15 PDT 2009,@mileycyrus hope you have a fab time in uk miley!!!!! i wish we could meet up! ,79
1555845347,Sat Apr 18 20:51:40 PDT 2009,@mileycyrus .......i know wat it's like leavin' 'em but yuh don't wanna leave ,78
1556400094,Sat Apr 18 22:41:30 PDT 2009,@mileycyrus Awehh  i hate it when i half to leave too! and my names ShannonMyleigh hahaha!,90
1556692221,Sat Apr 18 23:54:18 PDT 2009,@mileycyrus http://twitpic.com/3goxn - WOAH! i can c y. I don't blame u. i would hate not having a private life ,112
1556783713,Sun Apr 19 00:19:44 PDT 2009,@mileycyrus hey hun! i couldnt imagine traveling like you do.  keep your head up! your such an inspiration to many. we all live up to you!,138
1557097703,Sun Apr 19 02:00:06 PDT 2009,"@mileycyrus I have school tomorrow again!  Boooring, but on the lessons I humming on Breakout!  We gonna breakout let the party start...",136
1557396741,Sun Apr 19 03:51:46 PDT 2009,so happy i go back to school on tuesday not tomorrow. I MUST GET @mileycyrus tickets ,85
1557691469,Sun Apr 19 05:32:05 PDT 2009,@mileycyrus it could be worse! i have go to uni tomorrow to prepare for 6 exams and a 2000 word essay for wednesday  it's tragic!,129
1559477049,Sun Apr 19 11:14:38 PDT 2009,"@mileycyrus don't leave us  haha i'm part of your FAN family, okay? Good look at the HM premiere in Germany, GOD bless you, luv ya guurl..",138
1559761654,Sun Apr 19 11:59:06 PDT 2009,"@mileycyrus oh miley miley, I'm Italian i wish to see u!  I'm so dam sad",72
1559764514,Sun Apr 19 11:59:33 PDT 2009,@mileycyrus why do you was in germany ? Awwww... ,49
